Film,Year,Major Studio,Rotten Tomatoes,Audience Score,Genre,Budget ($m),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Market Profitability
Twilight,2008,Summit,49,82,Romance,37,176.82,199.85,376.66,10.18
Tyler Perry's Meet the Browns,2008,Independent,31,36,Drama,20,41.98,0,41.98,2.0988
Tyler Perry's The Family That Preys,2008,Independent,51,36,Drama,10,37.11,0,37.11,3.7105
Tyler Perry's Why Did I get Married,2007,Independent,46,47,Romance,15,55.2,0.66,55.86,3.7242
Underworld: Rise of the Lycans,2009,Sony,30,68,Action,35,45.8,45.55,91.35,2.61
Unstoppable,2010,Fox,86,73,Action,95,81.56,87.94,169.5,1.7842
Untraceable,2008,Independent,14,56,Thriller,35,28.69,23.97,52.66,1.5045
Up,2009,Disney,98,86,Animation,175,293,438.3,731.3,4.1789
Up in the Air,2009,Paramount,90,76,Drama,25,83.82,83,166.82,6.6728
Vacancy,2007,Sony,55,46,Comedy,19,19.36,15.94,35.3,1.8579
Valentine's Day,2010,Warner Bros.,17,54,Comedy,52,110.49,107.08,217.57,4.184
Valkyrie,2008,MGM,58,66,Thriller,75,83.08,117.2,200.28,2.6703
Vampires Suck,2010,Independent,4,32,Comedy,20,36.66,43.32,79.98,3.999
Vicky Cristina Barcelona,2008,The Weinstein Company,82,73,Romance,16,22.84,73.19,96.03,6.0016
W.,2008,Lionsgate,60,42,Drama,25.1,25.53,3.97,29.5,1.1755
Waitress,2007,Independent,89,67,Romance,2,19.07,3.1,22.18,11.0897
Walk Hard: The Dewey Cox Story,2007,Sony,75,55,Comedy,35,18.32,2.26,20.58,0.5879
Wall Street: Money Never Sleeps,2010,Independent,54,43,Drama,70,52.47,78.16,130.63,1.8661
WALL-E,2008,Disney,96,89,Animation,180,223.78,297.5,521.28,2.896
Wanted,2008,Universal,73,72,Action,75,134.33,206.92,341.25,4.55
Watchmen,2009,Warner Bros.,64,68,Action,130,107.5,77.7,185.3,1.4254
We Own the Night,2007,Sony,55,63,Drama,21,28.56,26.26,54.83,2.6108
"Welcome Home, Roscoe Jenkins",2008,Universal,24,64,Comedy,35,42.19,1.21,43.4,1.2401
What Happens in Vegas,2008,Fox,28,72,Comedy,35,80.28,139.09,219.37,6.2676
Whatever Works,2009,Independent,50,63,Comedy,15,5.3,29.8,35.1,2.34
Where the Wild Things Are,2009,Warner Bros.,73,59,Adventure,100,77.23,21.89,99.12,0.9912
Whip It,2009,Independent,84,73,Drama,15,13,3,16,1.0667
Whiteout,2009,Warner Bros.,7,28,Action,35,10.3,1.9,12.2,0.3486
Why Did I Get Married Too?,2010,Lionsgate,27,67,Comedy,20,60.09,0.58,60.67,3.0335
Wild Hogs,2007,Disney,14,72,Comedy,90,168.27,85.35,253.63,2.8181
X-Men Origins: Wolverine,2009,Fox,37,72,Action,150,179.9,193.2,373.1,2.4873
Year One,2009,Sony,14,31,Adventure,60,43.33,19.02,62.35,1.0392
Yes Man,2008,Warner Bros.,43,72,Comedy,70,97.69,125.55,223.24,3.1891
You Again,2010,Independent,18,45,Comedy,20,25.7,6.16,31.86,1.593
You Don't Mess with the Zohan,2008,Sony,36,50,Comedy,80,100.02,99.91,199.93,2.4991
You Will Meet a Tall Dark Stranger,2010,Independent,43,35,Comedy,22,3.24,23.42,26.66,1.2118
Youth in Revolt,2010,The Weinstein Company,68,52,Comedy,18,15.28,4.34,19.62,1.09
Zack and Miri Make a Porno,2008,The Weinstein Company,64,70,Romance,24,31.3,10.64,41.94,1.7475
Zodiac,2007,Paramount,89,73,Thriller,65,33.08,51.71,84.79,1.3044
Zombieland,2009,Sony,90,87,Action,23.6,75.59,27.2,102.79,4.3555
