Film,Year,Major Studio,Rotten Tomatoes,Audience Score,Genre,Budget ($m),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Market Profitability
Harry Potter and the Half-Blood Prince,2009,Warner Bros.,83,75,Adventure,250,302,632,934,3.736
He's Just Not That Into You,2009,Warner Bros.,42,60,Comedy,25,93.95,84.89,178.84,7.1536
Hellboy II: The Golden Army,2008,Universal,87,70,Action,82.5,75.79,84.4,160.19,1.9417
High School Musical 3: Senior Year,2008,Disney,65,76,Comedy,11,89.7,162.35,252.04,22.9131
Hitman,2007,Fox,15,61,Action,17.5,39.69,60.28,99.96,5.7122
Hostel: Part II,2007,Lionsgate,44,45,Horror,10,17.61,18.01,35.62,3.562
Hot Tub Time Machine,2010,MGM,64,57,Adventure,36,50.29,14.13,64.42,1.7894
Hotel for Dogs,2009,Paramount,46,57,Comedy,35,73,45.2,118.2,3.3771
How to Train Your Dragon,2010,Paramount,98,90,Animation,165,217.58,277.3,494.88,2.9993
I Am Legend,2007,Warner Bros.,69,69,Thriller,150,256.39,327.76,584.16,3.8944
I Love You Beth Cooper,2009,Fox,14,38,Comedy,18,14.8,1.58,16.38,0.91
I Love You Phillip Morris,2010,Independent,71,57,Comedy,15,1.44,18.66,20.1,1.34
"I Love You, Man ",2009,Paramount,83,72,Comedy,40,71.4,20,91.4,2.285
I Now Pronounce You Chuck and Larry,2007,Universal,13,73,Comedy,85,120.06,65.99,186.05,2.1889
Ice Age: Dawn of the Dinosaurs,2009,Fox,45,72,Animation,90,196.57,690.11,886.68,9.852
Igor,2008,Independent,36,42,Animation,30,19.44,11.22,30.66,1.0221
Imagine That,2009,Paramount,38,44,Comedy,55,16.12,6.86,22.99,0.418
In the Land of Women,2007,Warner Bros.,43,72,Comedy,10,11.05,6.51,17.56,1.7562
Inception,2010,Warner Bros.,86,93,Action,160,292.58,531,823.58,5.1474
Indiana Jones and the Kingdom of the Crystal Skull,2008,Paramount,77,59,Action,185,317.02,469.53,786.56,4.2517
Inglourious Basterds,2009,Universal,88,87,Adventure,70,120.5,200.91,321.41,4.5916
Inkheart,2009,Warner Bros.,39,51,Adventure,60,17.3,45.14,62.44,1.0407
Into the Wild,2007,Paramount,82,90,Drama,15,18.35,37.28,55.63,3.709
Invictus,2009,Warner Bros.,75,74,Biography,60,37.49,84.74,122.23,2.0372
Iron Man,2008,Paramount,94,91,Action,186,318.31,266.76,585.07,3.1456
Iron Man 2,2010,Paramount,74,80,Action,200,312.43,309.62,622.05,3.1103
It's Complicated,2009,Universal,56,63,Comedy,85,112.73,111.87,224.6,2.6424
Jackass 3-D,2010,Paramount,63,72,Documentary,20,117.19,52.76,169.95,8.4975
Jennifer's Body,2009,Fox,42,37,Comedy,16,16.2,15.35,31.55,1.9719
Jonah Hex,2010,Warner Bros.,13,24,Action,47,10.55,0.36,10.91,0.2321
Journey to the Center of the Earth,2008,Warner Bros.,61,55,Action,45,101.7,140.29,241.99,5.3777
Julie & Julia,2009,Sony,74,69,Biography,40,94.12,32.52,126.64,3.166
Jumper,2008,Fox,16,50,Action,82.5,80.17,142.06,222.23,2.6937
Juno,2007,Fox,94,89,Comedy,7.5,143.5,87.69,231.18,30.8246
Just Wright,2010,Fox,45,58,Comedy,12,21.54,0.029,21.569,1.7974
Kick-Ass,2010,Independent,76,83,Action,30,48.07,48.06,96.13,3.2043
Killers,2010,Lionsgate,11,45,Action,75,47.06,46.34,93.4,1.2453
Knight and Day,2010,Fox,53,52,Action,117,76.42,185.26,261.68,2.2366
Knocked Up,2007,Universal,91,83,Comedy,33,148.77,70.23,219,6.6364
Knowing,2009,Summit,33,50,Drama,50,79.95,103.63,183.58,3.6716
Kung Fu Panda,2008,Paramount,88,83,Animation,200,215.43,416.31,631.74,3.1587
Lakeview Terrace,2008,Sony,46,44,Crime,20,39.26,5.39,44.65,2.2327
Land of the Lost,2009,Universal,26,38,Drama,100,49.43,20.11,69.54,0.6954
Law Abiding Citizen,2009,Independent,25,77,Crime,53,73.4,53.08,126.48,2.3864
Leap Year,2010,Universal,21,49,Comedy,19,25.9,6.69,32.59,1.7153
Leatherheads,2008,Universal,52,41,Comedy,58,31.23,9.93,41.16,0.7096
Legend of the Guardians: The Owls of Ga'Hoole,2010,Warner Bros.,51,65,Animation,80,55.64,84.26,139.9,1.7488
Legion,2010,Independent,19,36,Action,26,40.17,27.74,67.91,2.6119
Letters to Juliet,2010,Summit,40,62,Comedy,30,53.03,26.15,79.18,2.6393
License to Wed,2007,Warner Bros.,8,55,Comedy,35,43.8,25.51,69.31,1.9802
Life as We Know It,2010,Independent,28,62,Comedy,38,53.13,43.03,96.16,2.5305
Lions for Lambs,2007,Independent,27,48,Drama,35,15,48.21,63.21,1.806
Little Fockers,2010,Independent,9,40,Comedy,100,123.69,109.01,232.7,2.327
Live Free or Die Hard,2007,Fox,79,86,Action,110,134.53,249,383.53,3.4866
Love & Other Drugs,2010,Fox,48,55,Comedy,30,31.68,22.85,54.53,1.8177
Love Happens,2009,Universal,18,40,Drama,18,22.96,13.12,36.08,2.0044
MacGruber,2010,Independent,47,33,Action,10,8.53,0.8,9.33,0.933
Machete,2010,Independent,73,66,Action,20,26.59,15.55,42.14,2.107
Mad Money,2008,Independent,22,51,Comedy,22,20.67,5.74,26.41,1.2005
Madagascar: Escape 2 Africa,2008,Paramount,64,73,Animation,150,176.93,423.89,600.82,4.0055
Made of Honor,2008,Sony,13,61,Comedy,40,46.01,59.95,105.96,2.6491
Mamma Mia!,2008,Universal,53,76,Comedy,66,143.76,465.71,609.47,9.2345
Marley and Me,2008,Fox,63,77,Comedy,55,106.51,99.56,206.07,3.7468
Marmaduke,2010,Fox,9,46,Comedy,50,33.64,49.71,83.35,1.667
Max Payne,2008,Fox,16,36,Action,35,40.66,44.73,85.38,2.4395
Meet Dave,2008,Fox,19,42,Adventure,60,11.8,38.85,50.65,0.8442
Meet the Robinsons,2007,Disney,66,75,Animation,100,97.82,71.51,169.33,1.6933
Meet the Spartans,2008,Independent,2,31,Comedy,30,38.23,46.41,84.65,2.8216
Megamind,2010,Paramount,72,73,Animation,130,144.67,173.46,318.13,2.4472
Michael Clayton,2007,Independent,90,72,Thriller,25,49.03,43.96,92.99,3.7197
Michael Jackson's This Is It,2009,Sony,81,82,Documentary,60,72.1,180,252.1,4.2017
Milk,2008,Universal,94,88,Biography,20,31.84,18.32,50.16,2.508
Miracle at St. Anna,2008,Disney,34,68,Action,45,7.92,1.2,9.12,0.2026
Mirrors,2008,Independent,14,49,Horror,35,30.69,46.8,77.49,2.214
Miss Pettigrew Lives for a Day,2008,Independent,78,70,Comedy,60,12.31,2.86,15.17,0.2529
Monsters Vs. Aliens,2009,Paramount,72,65,Animation,175,198.4,183.2,381.5,2.18
Morning Glory,2010,Independent,54,54,Comedy,40,31.01,27.78,58.79,1.4698
Mother and Child,2010,Independent,79,61,Drama,7,1.11,3.76,4.87,0.6957
Mr. Brooks,2007,MGM,56,75,Thriller,20,28.55,19.57,48.12,2.4061
Mr. Magorium's Wonder Emporium,2007,Independent,36,56,Fantasy,25,32.06,36.89,68.95,2.7579
My Best Friend's Girl,2008,Lionsgate,14,51,Comedy,20,19.22,22.4,41.62,2.0811
My Bloody Valentine 3-D,2009,Lionsgate,57,48,Crime,14,51.54,51.2,102.74,7.3386
My Life in Ruins,2009,Independent,9,43,Comedy,17,8.67,9.34,18.01,1.06
My Sister's Keeper,2009,Warner Bros.,47,73,Drama,27.5,49.2,39.85,89.05,3.2382
My Soul to Take,2010,Relativity Media,9,29,Horror,25,14.74,5.09,19.83,0.7932
Nancy Drew,2007,Independent,49,61,Thriller,20,25.61,5.05,30.67,1.5333
Nanny McPhee Returns,2010,Universal,77,54,Comedy,35,29.01,64.23,93.24,2.664
National Treasure: Book of Secrets,2007,Disney,31,72,Thriller,130,219.96,237.4,457.36,3.5182
Never Back Down,2008,Summit,23,37,Action,21,24.85,16.78,41.63,1.9822
Never Let Me Go,2010,Independent,70,70,Drama,15,2.43,7.3,9.73,0.6487
Next,2007,Paramount,29,59,Thriller,70,18.21,55.33,73.54,1.0506
Next Day Air,2009,Summit,21,27,Action,3,10,0,10,3.3333
Nick and Norah's Infinite Playlist,2008,Sony,73,67,Comedy,10,31.49,2.04,33.53,3.3527
Night at the Museum: Battle of the Smithsonian,2009,Fox,43,60,Action,150,177.2,235.8,413,2.7533
Nights in Rodanthe,2008,Warner Bros.,31,56,Drama,30,41.74,37.5,79.24,2.6412
Nim's Island,2008,Independent,51,50,Adventure,37,48.01,52.07,100.08,2.7048
Nine,2009,The Weinstein Company,37,40,Drama,80,19.67,34.32,53.99,0.6749
Ninja Assassin,2009,Warner Bros.,25,57,Action,50,38.12,23.47,61.59,1.2318
No Country for Old Men,2007,Paramount,95,84,Drama,25,74.28,86.72,161,6.44
No Reservations,2007,Warner Bros.,39,64,Comedy,28,43.11,49.49,92.6,3.3072
Norbit,2007,Paramount,9,56,Comedy,60,95.67,63.64,159.31,2.6552
